id,title,body,role,standard_answer,scoring
jv-001,Java后端-HashMap并发与扩容,"请解释HashMap在JDK8中的数据结构、扩容机制，以及并发场景下为什么建议使用ConcurrentHashMap。",Java后端,"回答应覆盖：数组+链表+红黑树；负载因子与2倍扩容；并发下数据不一致风险；ConcurrentHashMap分段锁/桶级并发思想。","基础概念30分；源码机制30分；并发风险20分；工程实践20分"
jv-002,Java后端-Spring事务,"在Spring中，@Transactional为什么可能失效？如何排查与修复？",Java后端,"回答应包含：同类调用、自调用、异常类型、事务传播、代理方式（JDK/CGLIB）以及日志验证手段。","原理理解35分；失效场景35分；定位手段15分；修复策略15分"
jv-003,Java后端-接口性能优化,"高并发接口响应慢，你会如何系统性优化？",Java后端,"应从链路监控、慢SQL、缓存策略、线程池、限流降级、异步化、JVM参数调优等维度回答，并给出优先级。","排查路径30分；优化策略40分；取舍与风险15分；案例落地15分"
fe-001,Web前端-渲染性能,"请说明浏览器从输入URL到页面渲染完成的关键步骤，并指出优化点。",Web前端,"应覆盖DNS/TCP/HTTP、资源下载、解析、构建DOM/CSSOM、渲染树、布局绘制合成；优化含缓存、压缩、懒加载、关键路径资源。","流程完整性35分；性能指标与优化35分；表达逻辑15分；工程经验15分"
fe-002,Web前端-Vue响应式,"Vue3响应式原理是什么？与Vue2相比主要改进点有哪些？",Web前端,"应包含Proxy/Reflect、依赖收集与触发、副作用函数、组合式API优势，对比Vue2的Object.defineProperty局限。","原理正确性40分；对比深度30分；示例说明15分；可维护性思考15分"
fe-003,Web前端-工程化与质量,"一个中大型前端项目如何保证可维护性和质量？",Web前端,"应涉及模块化、类型系统、状态管理、测试金字塔、CI/CD、监控告警、代码规范与评审机制。","架构视角30分；质量手段40分；团队协作15分；落地经验15分"
py-001,Python算法-复杂度分析,"请分析快排、归并、堆排的时间与空间复杂度，并说明适用场景。",Python算法,"应准确给出平均/最坏复杂度、是否稳定、额外空间开销，并结合数据规模与分布做选型。","复杂度准确性40分；算法性质30分；场景选型20分；表达10分"
py-002,Python算法-动态规划,"什么问题适合用动态规划？请给出状态定义与转移设计思路。",Python算法,"应说明最优子结构、重叠子问题、状态定义、边界条件、转移方程与滚动数组优化。","方法论35分；建模能力35分；优化意识20分；示例10分"
py-003,Python算法-工程化落地,"算法题做得好但线上效果一般，如何把算法方案工程化落地？",Python算法,"应包含特征质量、数据漂移、在线延迟、资源限制、A/B实验、监控指标与回滚机制。","工程意识40分；指标体系25分；风险控制20分；实战案例15分"
jv-004,Java后端-MySQL索引设计,"请结合B+树原理说明MySQL联合索引的最左前缀原则，并举例说明失效场景。",Java后端,"应涵盖B+树结构、最左前缀、回表与覆盖索引、函数/类型转换导致索引失效。","原理理解35分；SQL示例25分；失效场景25分；优化建议15分"
jv-005,Java后端-消息队列可靠性,"在使用Kafka或RabbitMQ时，如何保证消息不丢失、不重复并尽量有序？",Java后端,"应覆盖生产端确认、消费端幂等、重试与死信队列、分区有序与业务去重策略。","可靠性策略40分；一致性思路25分；有序性方案20分；实践经验15分"
jv-006,Java后端-微服务链路治理,"微服务调用链出现级联超时，你会如何定位并治理？",Java后端,"应涉及超时配置、重试风暴、熔断限流、线程池隔离、链路追踪和压测验证。","问题定位35分；治理手段35分；风险评估15分；可观测性15分"
jv-007,Java后端-JVM故障排查,"线上服务频繁Full GC且延迟抖动明显，你的排查步骤是什么？",Java后端,"应包含GC日志分析、堆转储、对象晋升、内存泄漏定位、参数调优与回归验证。","排查路径35分；JVM知识30分；调优策略20分；结果验证15分"
fe-004,Web前端-状态管理设计,"在复杂业务中如何设计前端状态管理，避免状态混乱和重复请求？",Web前端,"应包含全局/局部状态边界、缓存策略、请求去重、乐观更新、错误恢复与数据一致性。","架构设计35分；状态边界25分；性能与一致性25分；可维护性15分"
fe-005,Web前端-首屏优化,"一个ToC站点首屏白屏时间过长，你会从哪些维度优化？",Web前端,"应覆盖关键资源内联、代码分割、预加载、图片优化、SSR/CSR取舍和性能监控指标。","诊断能力30分；优化策略40分；指标闭环20分；工程落地10分"
fe-006,Web前端-浏览器缓存策略,"请解释强缓存与协商缓存的机制，并给出静态资源版本管理方案。",Web前端,"应说明Cache-Control/Expires、ETag/Last-Modified、文件指纹、CDN缓存刷新策略。","协议理解35分；策略设计35分；工程实践20分；风险说明10分"
